1,Ottawa,Ontario,Central Canada,Canada,true
2,Grand Forks,British Columbia,West Coast,Canada,true
3,Wellington,British Columbia,West Coast,Canada,true
4,Cranberry,British Columbia,West Coast,Canada,true
5,Saint John River Basin,New Brunswick,Atlantic Canada,Canada,true
6,Fernie,British Columbia,West Coast,Canada,true
7,Frank,Alberta,Prairie Provinces,Canada,true
8,Carbonado,British Columbia,West Coast,Canada,true
9,Edmonton,Alberta,Prairie Provinces,Canada,true
10,Calgary,Alberta,Prairie Provinces,Canada,true
11,Upper Arrow Lake,British Columbia,West Coast,Canada,true
12,Toronto,Ontario,Central Canada,Canada,true
13,Red River,Manitoba,Prairie Provinces,Canada,true
14,unknown,Nova Scotia,Atlantic Canada,Canada,true
15,Spences Bridge,British Columbia,West Coast,Canada,true
16,Vancouver Island,British Columbia,West Coast,Canada,true
17,Quebec City,Quebec,Central Canada,Canada,true
18,Notre-Dame-de-la-Salette,Quebec,Central Canada,Canada,true
19,Chester,New Brunswick,Atlantic Canada,Canada,true
20,Burnaby,British Columbia,West Coast,Canada,true
21,unknown,unknown,Prairie Provinces,Canada,true
22,Spanish River,Ontario,Central Canada,Canada,true
23,Rogers Pass,British Columbia,West Coast,Canada,true
24,St-Alphonse-de-Bagotville,Quebec,Central Canada,Canada,true
25,Coucoucache,Quebec,Central Canada,Canada,true
26,Cochrane,Ontario,Central Canada,Canada,true
27,Regina,Saskatchewan,Prairie Provinces,Canada,true
28,unknown,unknown,Eastern Canada,Canada,true
29,unknown,unknown,"Lakes Huron, Erie and Ontario",Canada,true
30,unknown,unknown,Newfoundland coast,Canada,true
31,unknown,Newfoundland and Labrador,Atlantic Canada,Canada,true
32,St. Lawrence River,Quebec,Central Canada,Canada,true
33,Hillcrest,Alberta,Prairie Provinces,Canada,true
34,North Saskatchewan River,Alberta,Prairie Provinces,Canada,true
35,Nanaimo,British Columbia,West Coast,Canada,true
36,Cooper Mine,British Columbia,West Coast,Canada,true
37,unknown,unknown,Northeastern New Brunswick,Canada,true
38,Winnipeg,Manitoba,Prairie Provinces,Canada,true
39,New Waterford,Nova Scotia,Atlantic Canada,Canada,true
40,unknown,unknown,Northwestern British Columbia,Canada,true
41,Halifax,Nova Scotia,Atlantic Canada,Canada,true
42,unknown,unknown,Across Canada,Canada,true
43,Pictou County,Nova Scotia,Atlantic Canada,Canada,true
44,Trenton,Ontario,Central Canada,Canada,true
45,unknown,unknown,"British Columbia, off coast",Canada,true
46,unknown,unknown,Southwestern Ontario,Canada,true
47,unknown,unknown,Southeastern Saskatchewan,Canada,true
48,Icelandic River,Manitoba,Prairie Provinces,Canada,true
49,Saint John River,New Brunswick,Atlantic Canada,Canada,true
50,Montreal,Quebec,Central Canada,Canada,true
51,Canning,Nova Scotia,Atlantic Canada,Canada,true
52,Waswanipi reserve,Quebec,Central Canada,Canada,true
53,unknown,unknown,Southern Alberta,Canada,true
54,Grand Falls,Newfoundland and Labrador,Atlantic Canada,Canada,true
55,Upper Gagetown,New Brunswick,Atlantic Canada,Canada,true
56,Lake St. Clair,Ontario,Central Canada,Canada,true
57,unknown,unknown,Saskatchewan and Alberta,Canada,true
58,Emerson,Manitoba,Prairie Provinces,Canada,true
59,Goulais River,Ontario,Central Canada,Canada,true
60,unknown,unknown,Northern British Columbia,Canada,true
61,Whitedog Lake,Ontario,Central Canada,Canada,true
62,Come by Chance,Newfoundland and Labrador,Atlantic Canada,Canada,true
63,Duck Mountain,Manitoba,Prairie Provinces,Canada,true
64,Saint-Romuald,Quebec,Central Canada,Canada,true
65,Linton,Quebec,Central Canada,Canada,true
66,Sarnia,Ontario,Central Canada,Canada,true
67,Lethbridge,Alberta,Prairie Provinces,Canada,true
68,Louiseville,Quebec,Central Canada,Canada,true
69,unknown,unknown,Central and Southern Alberta,Canada,true
70,Norman Wells,Northwest Territories,Northern Canada,Canada,true
71,unknown,unknown,Ontario and Manitoba,Canada,true
72,Courtland,Ontario,Central Canada,Canada,true
73,Lesser Slave Lake region,Alberta,Prairie Provinces,Canada,true
74,Saguenay region,Quebec,Central Canada,Canada,true
75,Saint-Basile-le-Grand,Quebec,Central Canada,Canada,true
76,Dundas,Ontario,Central Canada,Canada,true
77,Albany,Ontario,Central Canada,Canada,true
78,Niagara Falls,Ontario,Central Canada,Canada,true
79,unknown,unknown,Yukon to Ontario,Canada,true
80,Dryden,Ontario,Central Canada,Canada,true
81,Montmartre,Saskatchewan,Prairie Provinces,Canada,true
82,Liard River,Northwest Territories,Northern Canada,Canada,true
83,unknown,unknown,Northern Manitoba,Canada,true
84,Radisson,Quebec,Central Canada,Canada,true
85,Saint-Jacques,Quebec,Central Canada,Canada,true
86,Sudbury,Ontario,Central Canada,Canada,true
87,unknown,unknown,Southwestern British Columbia,Canada,true
88,Gulf of St. Lawrence,Quebec,Central Canada,Canada,true
89,Saint-Li??onard d'Aston,Quebec,Central Canada,Canada,true
90,Ungava Peninsula,Quebec,Central Canada,Canada,true
91,Old Crow,Yukon,Northern Canada,Canada,true
92,Harrow,Ontario,Central Canada,Canada,true
93,unknown,unknown,British Columbia to Ontario,Canada,true
