"fatalities","injured","evacuated","city","province","region","country","canada","disastertype","disastersubgroup","disastergroup","disastercategory","magnitude","utilitypeopleaffected","start_day","start_week","start_month","start_year","start_weekend","start_seasoncanada","start_seasoninternational","end_day","end_week","end_month","end_year","end_weekend","end_seasoncanada","end_seasoninternational","estimatedtotalcost","normalizedtotalcost","federaldfaapayments","provincialdfaapayments","provincialdepartmentpayments","municipalcosts","ogdcosts","insurancepayments","ngopayments","keyword1","keyword2","keyword3"
2,1,0,"Saint-Jean-sur-Richelieu","Quebec","Central Canada","Canada",TRUE,"Kidnapping / Murder","Terrorist","Conflict","Incident",0,0,20,43,10,2014,FALSE,"fall","spring",21,43,10,2014,FALSE,"fall","spring",0,0,?,?,?,?,?,?,?,"ice","killed","car"
6,?,0,?,"Quebec","Central Canada","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,153000,21,51,12,2013,TRUE,"winter","summer",26,52,12,2013,FALSE,"winter","summer",0,0,?,?,?,?,?,?,?,"snow","storm","ice"
2,25,0,?,?,"Southern Ontario","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,2490000,21,51,12,2013,TRUE,"winter","summer",1,1,1,2014,FALSE,"winter","summer",262781642,12839493.9,98581642,?,4200000,160000000,?,?,?,"storm","ice","temperature"
0,0,3000,"Cumberland House","Saskatchewan","Prairie Provinces","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,29,18,4,2013,FALSE,"spring","fall",3,27,7,2013,FALSE,"summer","winter",43309000,2116074.9,43309000,?,?,?,?,?,?,"flood","snow","water"
0,0,90,?,?,"Quebec, New Brunswick, Nova Scotia, and Prince Edward Island","Canada",TRUE,"Hurricane / Typhoon / Tropical Storm","Meteorological - Hydrological","Natural","Disaster",0,939000,5,27,7,2014,TRUE,"summer","winter",6,27,7,2014,TRUE,"summer","winter",24712000,1184281.2,12212000,?,12500000,?,?,?,?,"flood","storm","wind"
0,0,0,?,?,"Ontario, Quebec and New Brunswick","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,317000,20,51,12,2013,FALSE,"fall","summer",3,1,1,2014,FALSE,"winter","summer",0,0,?,?,?,?,?,?,?,"snow","storm","ice"
0,0,1000,?,?,"Southern Quebec","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,14,16,4,2014,FALSE,"spring","fall",1,18,5,2014,FALSE,"spring","fall",13064000,626070.3,13064000,?,?,?,?,?,?,"flood","storm","ice"
0,0,560,?,?,"Southern Manitoba","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,25,26,6,2014,FALSE,"summer","winter",14,29,7,2014,FALSE,"summer","winter",1164679000,55815287.5,164679000,?,?,?,?,1000000000,?,"flood","rain","evacuate"
0,0,500,?,?,"Southern Saskatchewan","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,25,26,6,2014,FALSE,"summer","winter",14,29,7,2014,FALSE,"summer","winter",19387000,929089.5,19387000,?,?,?,?,?,?,"flood","water","rain"
0,0,500,?,?,"Southern Alberta","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,15,24,6,2014,TRUE,"spring","winter",30,31,7,2014,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"flood","rain","evacuate"
?,?,13000,?,?,"Northern Saskatchewan","Canada",TRUE,"Wildfire","Meteorological - Hydrological","Natural","Disaster",0,0,1,27,7,2015,FALSE,"summer","winter",18,29,7,2015,TRUE,"summer","winter",92191000,4369241.7,92191000,?,?,?,?,?,?,"fire","evacuate",?
?,?,?,?,"Nova Scotia","Atlantic Canada","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,33000,5,14,4,2016,FALSE,"spring","fall",5,14,4,2016,FALSE,"spring","fall",0,0,?,?,?,?,?,?,?,"ice","wind","rain"
?,6,?,?,?,"Southern Ontario","Canada",TRUE,"Tornado","Meteorological - Hydrological","Natural","Disaster",0,150000,2,31,8,2015,TRUE,"summer","winter",3,32,8,2015,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"wind","tornado","rain"
?,?,1333,?,?,"Fort Albany and Kashcewan First Nation","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,17,16,4,2015,FALSE,"spring","fall",11,20,5,2015,FALSE,"spring","fall",0,0,?,?,?,?,?,?,?,"flood","water","evacuate"
?,?,?,"Gogama","Ontario","Central Canada","Canada",TRUE,"Rail","Transportation accident","Technology","Incident",0,0,7,10,3,2015,TRUE,"winter","fall",9,11,3,2015,FALSE,"winter","fall",0,0,?,?,?,?,?,?,?,"fire","derail","spill"
?,?,?,?,?,"Southern Ontario","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,300000,22,26,6,2015,FALSE,"summer","winter",23,26,6,2015,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"flood","storm","wind"
?,25,138,"Halifax","Nova Scotia","Atlantic Canada","Canada",TRUE,"Air","Transportation accident","Technology","Incident",0,0,28,13,3,2015,TRUE,"spring","fall",28,13,3,2015,TRUE,"spring","fall",0,0,?,?,?,?,?,?,?,"crash","damage","plane"
2,?,450,?,?,?,"Nepal",FALSE,"Earthquake","Geological","Natural","Disaster",8,860000,25,17,4,2015,TRUE,"spring","fall",12,20,5,2015,FALSE,"spring","fall",5000000,236966.8,?,?,?,?,5000000,?,?,"avalanche","earthquake","killed"
